"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"11",38,NA,"Often","Often","Often","Yes, occasionally","No","No","No","No","3","7","1","0","0","0","7","0","National","","Retain Queen as head of state","More","More","Less","Less","Same as now","More","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green","Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Maori Party",77,"English","",NA,"University degree completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","3","7","1","3","Right","Centre","4","1","7","2-3 times a month",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"12",35,NA,"Often","Sometimes","Not at all","Yes, rarely","No","Yes, rarely","No","No","4","8","7","5","Don't know","9","Don't know","Don't know","Another party","CONSERVATIVE","Retain Queen as head of state","More","More","Don't know","Don't know","Same as now","Don't know","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",83,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ51,400-$NZ76,099",3,NA,"Married, in a civil union or living with a partner","”COMMUNICATION”","2","9","Centre","Don't know","Right","8","Don't know","Don't know","7","2-11 times a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","Conservative","United Future","Conservative","United Future","Voting can make a big difference to what happens","United Future"
"13",61,NA,"Rarely","Not at all","Not at all","Yes, rarely","No","No","No","No","7","3","2","5","0","0","0","0","Labour","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Less","Much more","More","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Don't know",79,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”PUBLIC ADMINISTRATION”","4","9","Centre","6","Right","Centre","Centre","Centre","Centre","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"",NA,"Labour",NA,"Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"14",59,NA,"Sometimes","Often","Not at all","Yes, occasionally","No","No","No","No","3","10","3","0","3","3","4","0","National","","Become a republic with an NZ head of state","Much more","Much more","Same as now","Same as now","Same as now","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",56,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”MINING”","3","7","2","Don't know","8","Centre","Centre","1","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"15",26,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","5","5","7","0","0","Don't know","4","Don't know","Green","","Become a republic with an NZ head of state","More","More","Much less","Same as now","More","More","Same as now","Much less","More",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,NA,NA,"","","National",27,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",4,NA,"Single, never married","”EDUCATION”","3","8","4",NA,"Don't know","Don't know","Don't know","Don't know","4","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs",NA,NA,NA,NA,"Other","European",NA,"","Green","Green","Green","Green","Voting can make some difference to what happens","Green"
"16",50,NA,"Sometimes","Not at all","Not at all","Yes, frequently","No","No","No","No","10","0","5","5","0","0","5","5","Labour","","Retain Queen as head of state","More","More","Same as now","Same as now","Same as now","Same as now","More","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","NZ First",61,"English","",NA,"University degree completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","NZ First","Labour","Nonvote","Nonvote","Voting can make a big difference to what happens","Labour"
"17",20,NA,"Sometimes","Sometimes","Not at all","Yes, rarely","No","No","No","No","5","5","6","4","0","3","3","3","Labour","","Retain Queen as head of state","Much more","More","Don't know","Less","More","Don't know","Same as now","Don't know","Same as now",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election","Yes, Mana Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Don't know",68,"English","",NA,"Primary school completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”PERSONAL SERVICES”","4","8","Centre","6","9","Centre","3","Don't know","Centre","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour",NA,"Green"
"18",32,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","Yes, rarely","No","No","4","7","4","3","1","6","6","1","National","","Retain Queen as head of state","More","More","More","More","More","Same as now","More","More","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party","Yes, another party","ANARCHIST","","United Future",72,"English","",NA,"Incomplete university degree",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,NA,"Widowed","”EDUCATION”","4","7","3","3","Right","Centre","3","1","Centre","At least once a week",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"19",19,NA,"Not at all","Not at all","Sometimes","Yes, rarely","No","No","No","No","2","9","5","1","1","1","1","0","National","","Retain Queen as head of state","Much more","Much more","Less","Same as now","Much more","Same as now","More","Less","More",NA,NA,NA,NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Don't know",59,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,NA,"Widowed","”UNCLASSIFED”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Don't know","National"
"20",38,NA,"Rarely","Rarely","Rarely","Yes, rarely","No","No","No","No","3","8","4","0","1","0","3","0","National","","Retain Queen as head of state","Less","Same as now","Much less","Less","Same as now","More","Same as now","Less","Less",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","National",78,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",3,NA,"Married, in a civil union or living with a partner","”ENTERTAINMENT AND REPAIR SERVICES”","Centre","Centre","6","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","2-11 times a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"21",46,NA,"Rarely","Not at all","Not at all","Yes, rarely","No","No","No","No","5","10","5","5","5","5","1","1","National","","Don't know","Same as now","Same as now","Less","Same as now","More","More","Same as now","Same as now","Same as now",NA,NA,NA,NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First",NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Green",61,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"Don't know",2,NA,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"22",6,NA,"Rarely","Rarely",NA,"No","No","No","No","No","3","7","0","0","5","5","0","0","National","","Retain Queen as head of state","More","More","Less","Same as now","Same as now","Same as now","More","Less","Less","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Green","Yes, NZ First",NA,NA,"Yes, Maori Party","Yes, Mana Party","Yes, another party","","","Labour",72,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,NA,NA,NA,"Working unpaid outside the home",NA,"Don't know",2,NA,"Married, in a civil union or living with a partner","”AGRICULTURAL”","2","8","Left","Left","3","3","Left","Left","6","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Act","National","Act","National","Voting can make a reasonable amount of difference to what happens","National"
"23",54,NA,"Often",NA,"Often","Yes, occasionally",NA,NA,NA,NA,"0","7","0","5","0","0","0","0","National","","Become a republic with an NZ head of state","More","Same as now","Same as now","Same as now","Same as now","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green",NA,"Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","NZ First",79,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”MANUFACTURING”","9","Centre","Right","4","Right","8","Left","Left","2","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"24",63,NA,"Often","Often","Not at all","Yes, occasionally","No","No","No","No","4","7","4","1","5","5","5","1","National","","Retain Queen as head of state","More","More","Same as now","Much more","More","Same as now","More","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Don't know",54,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,0,"Single, never married","”TRANSPORTATION”","4","7","4","Don't know","9","Centre","4","1","6","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European","NZ Maori",NA,NA,NA,"","NZ European","","National","Labour","National","Labour","Voting can make some difference to what happens","National"
"25",42,NA,"Often",NA,NA,"Yes, frequently","No","No","No","No","4","8","3","2","2","2","1","0","National","","Retain Queen as head of state","More","More","Less","Same as now","More","Same as now","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","United Future",72,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Single, never married","”CONSTRUCTION”","Centre","8","6","7",NA,"6","4","Don't know","7","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"26",53,NA,"Rarely","Not at all","Not at all","Yes, occasionally","No","No","No","No","9","0","3","3","0","0","0","0","Labour","","Don't know","More","More","Same as now","More","More","Same as now","More","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","NZ First",52,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”MANUFACTURING”","4","6","1","Centre","9","Don't know","Don't know","Don't know","Centre","Never",NA,NA,NA,NA,NA,"Baptist",NA,NA,NA,NA,NA,"","Just not very religious",NA,NA,NA,NA,NA,"A NEW ZEALANDER",NA,"NEW ZEALANDER","Labour","Labour","Labour","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
